,Return,Risk,Sharpe,Weights
32,0.1432809106875265,0.11947118182209696,1.1992926536952175,"[0.15239138089652415, 0.15643551304779652, 0.14211550823224872, 0.1637811052855074, 0.1596362423999155, 0.19725657951855488, 0.007493141650086045, 0.0208905289693668]"
33,0.1812289310060018,0.13224797708255034,1.3703720465446296,"[0.21004958111948152, 0.17485342785468183, 0.03438345427398271, 0.0953064734918513, 0.08154676155660641, 0.07565332817516633, 0.18997632041620674, 0.13823065311202318]"
34,0.22161729530569926,0.12236248051251701,1.811153994079329,"[0.17803247883474324, 0.19823526308069703, 0.12341276272339137, 0.0003546192589687623, 0.2088632023983916, 0.10850182674193819, 0.07622322369447833, 0.10637662326739154]"
35,0.1637740957703186,0.1268682555754403,1.2908989331293579,"[0.10536097185241447, 0.01677380089259043, 0.21364856550625116, 0.1837415049670255, 0.19233966474626818, 0.03632549347836194, 0.0827982001313087, 0.16901179842577962]"
36,0.07037758341607608,0.12111024977825843,0.58110344537255,"[0.036031980726954654, 0.1669088647400228, 0.10738918307863893, 0.12394649344986959, 0.14377974506303426, 0.2266926920268922, 0.12570975647742655, 0.06954128443716098]"
37,0.13042744037905296,0.12000418105952142,1.0868574680273986,"[0.11705731387375864, 0.17916306366777307, 0.14637715389817724, 0.12967882744095882, 0.11753226705268847, 0.0770397811511425, 0.1217937501494529, 0.1113578427660484]"
38,0.21889527565627637,0.12974413834056256,1.6871303663962292,"[0.1784768111407398, 0.04890995792644448, 0.03388098948989282, 0.09676978555823602, 0.21776675894841643, 0.14698915829116044, 0.11525011897163277, 0.1619564196734771]"
39,0.17060663316528307,0.14077466583330076,1.2119128975046407,"[0.15742486897555122, 0.040139606893383736, 0.001061754668480356, 0.1804395791080624, 0.03510157832727995, 0.20444342590611114, 0.19042277049821257, 0.1909664156229185]"
40,0.08298485947722636,0.12241405030730279,0.6779030615268824,"[0.0015923782325881555, 0.21602511286340717, 0.06093127276816606, 0.2183146877601471, 0.18575265104120653, 0.05950122420098841, 0.08515021691840267, 0.1727324562150939]"
41,0.2111383007328106,0.15079702405582227,1.4001489887138032,"[0.0710589526986102, 0.0979386343177052, 0.08510968680546997, 0.2697407951624251, 0.02624081479848629, 0.025987719498871863, 0.08014686343846932, 0.3437765332799619]"
42,0.20215795353952248,0.12764542666247142,1.583746153899286,"[0.21516506924695625, 0.11213965017072607, 0.19337958021118837, 0.1845361937891048, 0.1355478066004233, 0.07537831159411279, 0.005054665749709686, 0.07879872263777873]"
43,0.07431402882576307,0.12176921144953456,0.6102858673480153,"[0.13243987859569606, 0.18998824929621128, 0.11496977503260089, 0.15816159772290414, 0.12008392860223034, 0.05392940982755825, 0.17545263572212486, 0.05497452520067411]"
44,0.03908887949132982,0.1316445076105024,0.2969275376606093,"[0.07044411433370289, 0.13760376698488905, 0.012031649677655739, 0.24446955630921255, 0.16492064053007457, 0.2100323432480861, 0.11933742696534605, 0.04116050195103309]"
45,0.26312450322030256,0.13303942024011875,1.9777935197357088,"[0.17443288368334697, 0.18191218278872617, 0.18961998059146046, 0.03808406650108201, 0.1369745971302368, 0.08113710443234032, 0.027936449687274864, 0.16990273518553237]"
46,0.10548052517568576,0.11753736421887331,0.8974212232568378,"[0.08333157563600017, 0.02024012825849027, 0.20031111820354036, 0.028939086969025474, 0.17980951450115457, 0.16758809362662308, 0.2270957149341323, 0.09268476787103366]"
47,0.04699333761116898,0.1279199715741838,0.36736513487979033,"[0.16373453126088444, 0.19678201579594737, 0.14088122229071381, 0.1796221677140815, 0.05393815414080098, 0.003665214944091973, 0.22960975089523192, 0.03176694295824794]"
48,0.07474331135518873,0.12363200930183442,0.6045627809276388,"[0.15937532348269629, 0.19482678864836708, 0.19979894688663047, 0.20709578218165056, 0.0863779363291878, 0.03854436953594483, 0.10619834715989371, 0.0077825057756293154]"
49,0.1347079203207428,0.12835647891825985,1.049482826702715,"[0.01563956482234176, 0.2698044469676221, 0.0018192625769842003, 0.2685074432535219, 0.1813617171903196, 0.015478214960725295, 0.0113048411536869, 0.23608450907479814]"
50,0.0854243409734611,0.1213672087068364,0.7038502564543968,"[0.12453080448775741, 0.27794994898929337, 0.07932459542605201, 0.04910507847510119, 0.018566930836818665, 0.27443929962252384, 0.17018026371340747, 0.005903078449046072]"
51,0.1756014141527724,0.13173215304095484,1.3330186298418643,"[0.21125746352014813, 0.0978913751686729, 0.013344042915687911, 0.19827900626411757, 0.25713025221299646, 0.010165713439859274, 0.09646890952565412, 0.1154632369528636]"
52,0.12107122446676566,0.12805690135615272,0.9454486496595881,"[0.009928603819543452, 0.1629620976105864, 0.18376278524178077, 0.28721794019051194, 0.047583976669317254, 0.11096511170631224, 0.0007484421087751319, 0.19683104265317292]"
53,0.11067218487938724,0.12479202170531802,0.8868530485124029,"[0.02067472879444215, 0.22232298923825156, 0.215662881411782, 0.21781644844990422, 0.05784177369814747, 0.02815203036372059, 0.05456816534425695, 0.18296098269949504]"
54,0.14494450084493027,0.11632240118374844,1.2460583633926967,"[0.1153263461835238, 0.054355802119334565, 0.1358155497982102, 0.05834627020716881, 0.28582048944687594, 0.07692927569468505, 0.16052469745472084, 0.11288156909548085]"
55,0.29759683066028,0.14023052141494838,2.1221972767232153,"[0.21588404320835297, 0.20863429887419616, 0.011613797203456882, 0.02693415995735915, 0.12971492351025685, 0.20021100668271125, 0.030149828656992936, 0.1768579419066739]"
56,0.11956444120930762,0.1274619825834396,0.9380400240600206,"[0.16805625818968936, 0.1738158036984407, 0.09054619870162198, 0.1813104305265508, 0.012687988970242205, 0.12566796948673956, 0.1577561235771803, 0.09015922684953517]"
57,0.14407017259042643,0.13114757482527412,1.0985347825331035,"[0.08277011861717469, 0.06744108008619526, 0.04170936474806799, 0.11962699541715555, 0.07764928440699378, 0.15824670271108854, 0.2308520575624865, 0.22170439645083778]"
58,0.1757123406183741,0.12403393824908071,1.4166472749217605,"[0.09133360258149183, 0.005268418950254972, 0.17904806432365666, 0.10269542958028986, 0.17819052340578426, 0.1156381617500827, 0.13819362118191458, 0.18963217822652517]"
59,0.1250558483511577,0.12363911120378314,1.0114586487526547,"[0.15081040912882285, 0.2234939992133957, 0.06342799959026237, 0.08289950361543343, 0.020052024734160106, 0.13228539277074963, 0.2168622791777794, 0.11016839176939672]"
60,0.17256854824937035,0.11789756611500561,1.4637159522108776,"[0.1819482424474899, 0.15257460277394813, 0.09753885422413855, 0.03779676335017607, 0.18390630905016486, 0.22449316240404596, 0.09134176858579283, 0.0304002971642438]"
61,0.06831935965035789,0.12365014129177869,0.5525214847037165,"[0.05484967379126953, 0.09849760187050222, 0.13565577197943957, 0.18766900375241305, 0.15573317544700485, 0.08427197085971495, 0.16573050212772972, 0.11759230017192611]"
62,0.18003854796466284,0.12481447148153438,1.4424493075812812,"[0.14663696990024822, 0.16266717929839913, 0.18671637361664692, 0.13571481890734094, 0.12188879421951035, 0.04457114756763162, 0.06711232275416507, 0.13469239373605785]"
63,0.1915731314792305,0.13142389131010462,1.4576735597274257,"[0.2089944472254375, 0.06272347399030624, 0.12862957401578534, 0.11331798251830204, 0.11770948850683018, 0.07926087775067098, 0.1583988250386681, 0.13096533095399943]"
64,0.1590423219121784,0.12298078567836616,1.2932290278915977,"[0.05599621605063883, 0.1524673653638412, 0.15548545946155368, 0.1818309734183461, 0.12890715154228144, 0.08503224903441095, 0.04639405565915215, 0.19388652946977553]"
65,-0.011465221545055637,0.13543373989723584,-0.08465557809859786,"[0.02958730673548117, 0.09184288892979713, 0.0391899033348109, 0.2173086350279247, 0.18016172018657814, 0.12880829227445242, 0.24355069481726893, 0.06955055869368668]"
66,0.053826011566570686,0.12281300478199021,0.43827615538044346,"[0.0022574883686824142, 0.10277109435091895, 0.1849526928629282, 0.13432062559384886, 0.13399740778392413, 0.21444764023564244, 0.1422780413416916, 0.08497500946236326]"
67,0.05993357651575187,0.12837869488690687,0.46684986608213597,"[0.0801936030315489, 0.03263339484248525, 0.21575405403863387, 0.20794049593305297, 0.09856079540070899, 0.07902807370946047, 0.1885920511815414, 0.09729753186256808]"
68,0.17379576728948753,0.12754977916094118,1.3625720752538002,"[0.2417942562057786, 0.14256966913006233, 0.11573303084307418, 0.16813411874057005, 0.04174358066756758, 0.15040158453696953, 0.08974721131945201, 0.049876548556525686]"
69,0.07627589817668154,0.12597206567321517,0.6054985108726347,"[0.11893188780587373, 0.14550918376764727, 0.19408426533441478, 0.19312576164023193, 0.054021809667309975, 0.04369093581890526, 0.16883207678076592, 0.08180407918485105]"
70,0.11508380417773408,0.13600678456675594,0.8461622303940853,"[0.06361359563766618, 0.079967004590602, 0.09950173367529921, 0.30455539377881513, 0.10186752307169823, 0.057077018130685574, 0.09039244427624388, 0.2030252868389898]"
71,0.22591026055251073,0.13841408794632476,1.6321334331236275,"[0.13436756080814907, 0.13362983151961813, 0.20256217208018887, 0.20969038511700255, 0.0930746502325726, 0.002275191646246394, 0.0015743290049872953, 0.22282587959123512]"
72,0.26462673261325315,0.13769802118167504,1.9217903811712138,"[0.32247808871080136, 0.04766799841338308, 0.012872345138932045, 0.060722640210859866, 0.1903795621995664, 0.1909901890286522, 0.10678713995332917, 0.06810203634447601]"
73,0.26215357758207614,0.1437282416778837,1.8239531390747907,"[0.1759283529399612, 0.01879810911154041, 0.13407060677511334, 0.16061179705013748, 0.0057636855314285845, 0.21988625224851385, 0.06017989817132635, 0.22476129817197887]"
